QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected G,TimemaxG,Time T,,,
ADP50,elastic net 1,2,1.95E+02,1.90E+02,0,0,500,3.0692945,20.7174234,0.0637525,0.6534104,30.6994983,,elastic net 1,124.4521148
dVmax,elastic net 1,2,1.32E+02,1.32E+02,0,0,500,2.874082,21.4534407,0.0740468,0.6650896,31.1853396,,,
Vrest,elastic net 1,2,1.94E+06,1.96E+06,0,0,500,2.8718113,21.5933145,0.0647845,0.6643465,31.2580846,,,
ADP90,elastic net 1,2,2.14E+02,2.08E+02,0,0,500,3.0871337,21.2695373,0.0653325,0.6624003,31.3091923,,,
dVmax,LARS,4,1.94E-04,1.94E-04,0,0,500,24.2461824,24.2461824,0.6648135,0.6648135,37.3221073,,LARS,183.7350205
Vrest,LARS,2,9.80E-03,1.01E-02,0,0,500,4.379987,24.4214984,0.0685063,0.6674412,37.5535693,,,
ADP90,LARS,2,9.05E-01,9.34E-01,0,0,500,5.0337739,35.9415433,0.0700238,0.7069154,53.4060807,,,
ADP50,LARS,2,9.38E-01,9.57E-01,0,0,500,5.0370335,37.7099318,0.0694775,0.7227884,55.4532632,,,
ADP50,lasso1,2,1.03E+00,1.03E+00,0,0,500,2.8491265,20.2366224,0.0646951,0.6501831,29.7909323,,lasso1,122.3292286
ADP90,lasso1,2,1.03E+00,1.03E+00,0,0,500,2.8292649,20.7427675,0.0652031,0.6582374,30.3142375,,,
Vrest,lasso1,2,2.29E+03,2.32E+03,0,0,500,2.9202136,21.3898678,0.0681678,0.6619206,31.0934264,,,
dVmax,lasso1,2,5.58E+01,5.57E+01,0,0,500,2.8635076,21.5648811,0.0656356,0.660286,31.1306324,,,
ADP90,OLS CP,2,2.27E-03,2.16E-03,0,0,500,4.6081735,55.8617848,0.0688494,0.7758312,74.1197814,,OLS CP,301.179947
dVmax,OLS CP,4,3.94E-04,3.21E-04,0,0,500,54.965552,54.965552,0.7877929,0.7877929,74.5901414,,,
Vrest,OLS CP,3,2.42E-06,2.61E-06,0,0,500,12.6358745,56.1525235,0.1890212,0.9906008,74.6474293,,,
ADP50,OLS CP,2,2.50E-03,2.40E-03,0,0,500,4.665171,59.4265246,0.0715172,0.7896431,77.8225949,,,
dVmax,OLS SKT,2,3.29E-04,3.22E-04,0,0,500,4.7067975,56.2278187,0.0757533,0.7895079,74.7491566,,OLS SKT,299.973818
Vrest,OLS SKT,3,2.42E-06,2.63E-06,0,0,500,12.6395622,56.5049085,0.189313,0.7905765,74.8824949,,,
ADP90,OLS SKT,2,2.27E-03,2.16E-03,0,0,500,4.8288609,56.3231962,0.0680068,0.7913063,74.9867279,,,
ADP50,OLS SKT,2,2.50E-03,2.40E-03,0,0,500,4.8845861,56.1708629,0.0691878,0.8120298,75.3554386,,,
ADP50,OMP1,2,1.54E+00,1.62E+00,0,0,500,3.1046296,21.0248649,0.0655437,0.6891289,30.9772833,,OMP1,126.130465
dVmax,OMP1,2,1.65E+02,1.64E+02,0,0,500,2.9878097,21.5730639,0.0731428,0.6616054,31.5188227,,,
ADP90,OMP1,2,1.47E+00,1.48E+00,0,0,500,3.1378623,21.6076383,0.0665559,0.6648443,31.7874207,,,
Vrest,OMP1,2,9.84E-03,1.00E-02,0,0,500,2.9445056,21.8463927,0.0660343,0.6638037,31.8469383,,,
