QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax,Timeselected,Timemax
dVmax,OLS CP,4,3.94E-04,3.21E-04,0,0,500,29.293470399999933,29.293470399999933,0.7773649999999179,0.7773649999999179
dVmax,LARS,4,1.94E-04,1.94E-04,0,0,500,18.525882200000524,18.525882200000524,0.6589281999995364,0.6589281999995364
dVmax,OLS SKT,2,3.29E-04,3.22E-04,0,0,500,2.4076449000003777,39.275604499999645,0.06783379999978933,0.7791133000000627
dVmax,ridge1,4,3.13E-03,3.25E-03,0,0,500,34.125499099999615,34.125499099999615,0.7927282999999079,0.7927282999999079
dVmax,elastic net 1,2,1.32E+02,1.32E+02,0,0,500,1.508455099999992,20.504351499999757,0.06467809999958263,0.6598966999999902
dVmax,lasso1,2,5.58E+01,5.57E+01,0,0,500,1.4584257999995316,17.06522439999935,0.06224930000007589,0.632536799999798
Vrest,OLS CP,3,2.42E-06,2.61E-06,0,0,500,6.310150499999509,30.298663399999896,0.18989479999981995,0.760136899999452
Vrest,LARS,2,9.80E-03,1.01E-02,0,0,500,2.0916550000001735,16.379181599999356,0.0643632000001162,0.6450058000000354
Vrest,OLS SKT,3,2.42E-06,2.63E-06,0,0,500,6.312771399999292,29.729531799999677,0.18637959999978193,0.7591646999999284
Vrest,ridge1,2,6.84E+01,7.07E+01,0,0,500,2.444205400000101,28.787300400000277,0.06758970000009867,0.7647673999999824
Vrest,elastic net 1,2,1.94E+06,1.96E+06,0,0,500,1.580792100000508,16.00417319999997,0.06558029999996506,0.6366821999999956
Vrest,lasso1,2,2.29E+03,2.32E+03,0,0,500,1.4537149000007048,15.891344300000128,0.06481319999966217,0.6684095999999045
ADP50,OLS CP,2,2.50E-03,2.40E-03,0,0,500,2.507790699999532,29.94677910000064,0.06673520000003919,0.7595771000005698
ADP50,LARS,2,9.38E-01,9.57E-01,0,0,500,2.505466100000376,21.041754100000617,0.06799119999959657,0.7149779000001217
ADP50,OLS SKT,2,2.50E-03,2.40E-03,0,0,500,2.3752353999998377,31.301158499999474,0.07017349999932776,0.7911718000004839
ADP50,ridge1,2,9.72E-01,9.92E-01,0,0,500,2.3470343999997567,34.41423780000059,0.06645349999962491,0.7672617999996874
ADP50,elastic net 1,2,1.95E+02,1.90E+02,0,0,500,1.5813448000008066,22.843552500000442,0.06498970000029658,0.6889646999998149
ADP50,lasso1,2,1.03E+00,1.03E+00,0,0,500,1.520371100000375,22.27848139999969,0.06595349999952305,0.6958743999994113
ADP90,OLS CP,2,2.27E-03,2.16E-03,0,0,500,2.3295094999994035,31.88888339999994,0.06779370000003837,0.7711102000002938
ADP90,LARS,2,9.05E-01,9.34E-01,0,0,500,2.5293101999995997,24.717289599999276,0.06868279999980587,0.8555750000004991
ADP90,OLS SKT,2,2.27E-03,2.16E-03,0,0,500,2.3793304000000717,30.921360500000446,0.06733310000072379,0.7787346000004618
ADP90,ridge1,2,9.40E-01,9.68E-01,0,0,500,2.490359200000057,37.167354799999885,0.06883660000039526,0.7936354000003121
ADP90,elastic net 1,2,2.14E+02,2.08E+02,0,0,500,2.6236527000000933,18.79953519999981,0.06586570000035863,0.6707941000004212
ADP90,lasso1,2,1.03E+00,1.03E+00,0,0,500,1.462644499999442,17.732706900000267,0.06395320000046922,0.6495350000004692
