QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns,Timeselected,Timemax
ADP50,elastic net 1,2,1.99E+02,1.90E+02,0,0,500,1.7476037000000133,197.7452871999999
dVmax,elastic net 1,2,1.43E+02,1.32E+02,0,0,500,1.707942199999934,205.3859715000001
ADP50,lasso1,2,1.02E+00,1.03E+00,0,0,500,1.4612595999999485,212.6625236
dVmax,lasso1,2,6.47E+01,5.57E+01,0,0,500,1.8905734999998458,208.00173010000003
ADP50,lasso lars1,3,1.02E+00,1.03E+00,0,0,500,3.3959935000000314,225.588972
dVmax,lasso lars1,2,6.47E+01,5.57E+01,0,0,500,2.1828350000000682,225.33255919999965
ADP50,lars,2,9.39E-01,9.57E-01,0,0,500,2.895393900000272,235.43753509999988
dVmax,lars,4,5.56E-01,1.94E-04,0,0,500,27.138544300000376,238.8601761
ADP50,orthogonal matching pursuit1,2,1.54E+00,1.62E+00,0,0,500,2.2895363999996334,230.3182299
dVmax,orthogonal matching pursuit1,2,1.77E+02,1.64E+02,0,0,500,2.133709899999758,226.69455879999987
ADP50,ridge1,2,9.71E-01,9.92E-01,0,0,500,3.36216370000011,282.0064615000001
dVmax,ridge1,4,6.37E-01,3.25E-03,0,0,500,44.3700944000002,280.53451940000014
ADP50,bayesian ridge,2,7.49E-01,7.46E-01,0,0,500,5.219245199999932,297.27477270000054
dVmax,bayesian ridge,4,5.55E-01,2.06E-04,0,0,500,30.00341430000026,257.13282530000015
ADP50,least squares CP,2,3.43E-03,2.40E-03,0,0,500,2.6709915999999794,250.85731719999967
dVmax,least squares CP,4,5.56E-01,3.21E-04,0,0,500,34.20904780000001,276.6235323000001
ADP50,least squares SKT,2,3.43E-03,2.40E-03,0,0,500,4.5716677999998865,270.6885222000001
dVmax,least squares SKT,2,5.55E-01,3.22E-04,0,0,500,2.963050899999871,226.88388620000023
