QOI,Method,Degree,Val. error, LOOERROR,Max Sobol Error,Mean Sobol Error,Ns
ADP50,lars,2,0.9381155462541567,0.9552772024358821,0,0,500
dVmax,lars,6,0.00012204028508135558,0.00012775507768956042,0,0,500
ADP50,least squares,2,0.003234865927545332,0.002498209581595274,0,0,500
dVmax,least squares,2,0.0003935401434461187,0.0003907415319472409,0,0,500
ADP50,lasso lars,2,1.0670919594295707,1.073262417161532,0,0,500
dVmax,lasso lars,2,6.713366142061898,6.757349750660685,0,0,500
ADP50,orthogonal matching pursuit,2,1.5429444110645745,1.5476486698945158,0,0,500
dVmax,orthogonal matching pursuit,6,158.45936428989302,158.99724430590715,0,0,500
ADP50,ridge,2,0.846216236900009,0.858044677002226,0,0,500
dVmax,ridge,5,0.00016010736230881993,0.00016280189203497655,0,0,500
ADP50,bayesian ridge,2,0.7479310326242808,0.7388822646865141,0,0,500
dVmax,bayesian ridge,5,0.00014978725090463083,0.00015357819664916041,0,0,500
